CERCID,TREATMENT,ORDER,INGFIRST,COREL,INGROUP,COREL.1,SELF,SELF.1,INGROUP.1,CORELEMO,INGREMO,OUTGREMO,CORELSIM,EMOI
CERC436,0,321,0,16,14,19,11,19,11,5,5,3,1,5
CERC437,0,123,1,13,17,14,16,13,17,5,5,2,1,5
CERC438,0,231,0,13,17,18,12,15,15,1,5,1,1,5
CERC439,0,321,0,16,14,21,9,14,16,1,1,1,1,1
CERC440,0,321,0,13,17,13,17,14,16,5,3,1,-1,3
CERC441,0,123,1,10,20,10,20,16,14,5,5,5,1,5
CERC442,0,123,1,19,11,20,10,17,13,4,5,2,1,5
CERC443,0,312,1,11,19,14,16,15,15,4,5,2,1,5
CERC444,0,132,1,10,20,12,18,16,14,3,5,3,2,5
CERC445,0,321,0,19,11,15,15,15,15,2,3,1,1,3
CERC446,0,132,1,14,16,17,13,20,10,1,1,0,1,1
CERC447,0,312,1,9,21,23,7,8,22,5,5,5,2,5
CERC448,0,132,1,14,16,16,14,18,12,5,5,5,2,5
CERC449,0,321,0,14,16,12,18,15,15,1,4,1,1,4
CERC450,0,312,1,18,12,20,10,18,12,1,2,1,1,2
CERC451,0,123,1,19,11,19,11,13,17,1,3,1,2,3
CERC452,0,213,0,16,14,14,16,15,15,1,5,1,1,5
CERC453,0,231,0,14,16,13,17,16,14,5,5,4,2,5
CERC454,0,132,1,15,15,14,16,17,13,1,2,1,1,2
CERC455,0,321,0,13,17,17,13,12,18,5,5,5,1,5
CERC456,0,312,1,12,18,19,11,13,17,3,3,3,1,3
CERC457,0,213,0,12,18,13,17,15,15,5,5,5,2,5
CERC458,0,132,1,14,16,19,11,18,12,5,5,5,2,5
CERC459,0,123,1,18,12,14,16,21,9,5,5,2,2,5
CERC460,0,321,0,12,18,18,12,13,17,1,2,1,1,2
CERC461,0,231,0,15,15,17,13,12,18,5,5,1,1,5
CERC462,0,132,1,16,14,15,15,14,16,2,1,4,2,1
CERC463,0,123,1,13,17,18,12,16,14,5,5,2,2,5
CERC464,0,321,0,14,16,13,17,12,18,3,3,3,NA,3
CERC465,0,312,1,16,14,15,15,11,19,1,3,1,0,3
CERC466,0,231,0,15,15,11,19,13,17,1,1,1,0,1
CERC467,0,123,1,15,15,12,18,15,15,1,5,1,NA,5
CERC468,0,312,1,12,18,15,15,12,18,1,5,1,-2,5
CERC469,0,213,0,8,22,12,18,12,18,3,3,3,2,3
CERC470,0,321,0,14,16,14,16,14,16,5,5,1,2,5
CERC471,0,312,1,17,13,18,12,13,17,3,3,3,2,3
CERC472,0,312,1,15,15,16,14,16,14,4,5,2,1,5
CERC473,0,132,1,15,15,13,17,12,18,2,3,2,1,3
CERC474,0,231,0,16,14,15,15,14,16,1,4,1,1,4
CERC475,0,231,0,12,18,13,17,17,13,5,3,5,1,3
CERC476,0,231,0,16,14,17,13,14,16,2,4,1,1,4
CERC477,0,321,0,14,16,14,16,15,15,3,3,3,1,3
CERC478,1,231,0,13,17,9,21,17,13,1,1,4,1,1
CERC479,1,132,1,15,15,17,13,15,15,1,5,1,1,5
CERC480,1,213,0,18,12,19,11,15,15,2,3,1,1,3
CERC481,1,213,0,17,13,18,12,15,15,1,1,3,2,1
CERC482,1,213,0,17,13,12,18,17,13,1,4,1,1,4
CERC483,1,213,0,14,16,18,12,15,15,5,5,5,2,5
CERC484,1,312,1,13,17,9,21,12,18,1,2,1,1,2
CERC485,1,213,0,16,14,15,15,12,18,5,5,1,2,5
CERC486,1,213,0,18,12,14,16,19,11,1,1,NA,1,1
CERC487,1,132,1,16,14,14,16,11,19,3,1,2,1,1
CERC488,1,231,0,14,16,12,18,14,16,1,4,3,1,4
CERC489,1,312,1,17,13,8,22,22,8,2,5,1,1,5
CERC490,1,312,1,21,9,13,17,13,17,5,5,3,1,5
CERC491,1,132,1,17,13,14,16,12,18,5,5,2,2,5
CERC492,1,213,0,17,13,15,15,12,18,2,5,1,1,5
CERC493,1,132,1,15,15,13,17,19,11,5,5,5,1,5
CERC494,1,132,1,14,16,19,11,13,17,1,4.5,1,1,5
CERC495,1,312,1,12,18,16,14,19,11,5,5,2,1,5
CERC496,1,213,0,14,16,15,15,14,16,4,5,1,2,5
CERC497,1,231,0,17,13,15,15,12,18,3,3,2,1,3
CERC498,1,231,0,15,15,17,13,21,9,1,5,1,1,5
CERC499,1,213,0,15,15,16,14,16,14,1,5,1,1,5
CERC500,1,312,1,13,17,14,16,18,12,3,5,3,2,5
CERC501,1,123,1,15,15,19,11,18,12,5,5,1,1,5
CERC502,1,213,0,11,19,13,17,14,16,5,5,1,1,5
CERC503,1,213,0,13,17,13,17,11,19,3,2,1,1,2
CERC504,1,231,0,15,15,17,13,15,15,4,4,4,1,4
CERC505,1,132,1,16,14,16,14,14,16,5,5,2,NA,5
CERC506,1,123,1,15,15,20,10,19,11,1,1,5,NA,1
CERC507,1,123,1,18,12,13,17,14,16,1,2,1,1,2
CERC508,1,231,0,10,20,17,13,8,22,4,4,3,1,4
CERC509,1,321,0,13,17,13,17,16,14,5,5,1,2,5
CERC510,1,312,1,16,14,19,11,12,18,5,5,1,1,5
CERC511,1,213,0,13,17,15,15,13,17,1,2,1,1,2
CERC512,1,123,1,15,15,14,16,15,15,5,5,5,1,5
CERC513,1,123,1,16,14,16,14,16,14,3,1,3,1,1
CERC514,1,123,1,13,17,13,17,17,13,2,2,1,1,2
CERC515,1,231,0,14,16,20,10,7,23,3,3,5,2,3
CERC516,1,213,0,9,21,17,13,16,14,4,4,2,1,4
